signal coef
nr.4096 0.01320952419849306
kdj.j.4096 4.646491761839936e-06
total.trade.imb.range.4096 -7.215376512036917e-05
dbook.range.4096 -8.089761758638452e-05
total.trade.imb.std.4096 -1.3565560417450703e-05
dbook.volume.open.ratio.4096 -0.01654841221886818
range.pos.volume.open.ratio.4096 -0.007607937579660743
dbook.trend.index.4096 -0.000615747897996373
range.pos.trend.index.4096 -0.0032501841445513246
price.osci.trend.index.4096 0.0006234338902164141
